朝楼,螟沥家疙,固技刚瘤PM-10(Ф/З),檬固技刚瘤PM-25(Ф/З),坷粮O3(ppm),捞魂拳龙家NO2(ppm),老魂拳藕家CO(ppm),酒炔魂啊胶SO2(ppm)
2017-12-16,堡柳备,43,27,0.019,0.02,0.5,0.005
2017-12-17,堡柳备,36,12,0.022,0.02,0.5,0.004
2017-12-18,堡柳备,55,33,0.005,0.043,0.8,0.005
2017-12-19,堡柳备,45,19,0.014,0.025,0.6,0.004
2017-12-20,堡柳备,41,25,0.005,0.04,0.7,0.004
2017-12-21,堡柳备,56,39,0.005,0.05,0.9,0.005
2017-12-22,堡柳备,66,46,0.003,0.059,1,0.006
2017-12-23,堡柳备,109,72,0.007,0.063,1,0.006
2017-12-24,堡柳备,80,58,0.016,0.039,0.8,0.004
2017-12-25,堡柳备,30,17,0.022,0.022,0.4,0.004
2017-12-26,堡柳备,29,14,0.017,0.026,0.5,0.004
2017-12-27,堡柳备,27,14,0.015,0.027,0.5,0.005
2017-12-28,堡柳备,49,29,0.005,0.049,0.7,0.005
2017-12-29,堡柳备,93,62,0.007,0.062,1.1,0.007
2017-12-30,堡柳备,136,96,0.005,0.06,1,0.005
2017-12-31,堡柳备,63,37,0.023,0.023,0.6,0.004
