날짜,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-05-05,47,18,0.033,0.038,0.6,0.005
2016-05-06,44,18,0.028,0.033,0.5,0.004
2016-05-07,81,15,0.032,0.027,0.5,0.005
2016-05-08,44,14,0.04,0.032,0.5,0.004
2016-05-09,54,20,0.042,0.036,0.5,0.005
2016-05-10,28,12,0.035,0.029,0.5,0.003
2016-05-11,24,9,0.038,0.027,0.4,0.003
2016-05-12,25,12,0.043,0.026,0.4,0.004
2016-05-13,35,15,0.046,0.027,0.5,0.003
2016-05-14,30,14,0.045,0.032,0.5,0.004
2016-05-15,32,16,0.048,0.018,0.4,0.004
2016-05-16,31,13,0.045,0.021,0.5,0.005
2016-05-17,68,37,0.047,0.045,0.7,0.008
2016-05-18,55,30,0.037,0.053,0.7,0.007
2016-05-19,35,17,0.037,0.046,0.5,0.004
2016-05-20,55,30,0.049,0.056,0.6,0.007
2016-05-21,35,22,0.045,0.047,0.5,0.004
2016-05-22,52,36,0.067,0.039,0.5,0.005
2016-05-23,62,40,0.058,0.042,0.5,0.006
2016-05-24,31,19,0.052,0.02,0.4,0.003
2016-05-25,81,49,0.066,0.021,0.5,0.005
2016-05-26,94,56,0.046,0.037,0.6,0.007
2016-05-27,83,44,0.05,0.036,0.6,0.006
2016-05-28,70,33,0.046,0.035,0.6,0.007
2016-05-29,75,39,0.051,0.031,0.6,0.006
2016-05-30,94,51,0.059,0.031,0.7,0.008
2016-05-31,71,37,0.047,0.028,0.5,0.007
2016-06-01,41,20,0.044,0.028,0.4,0.004
2016-06-02,34,16,0.044,0.036,0.4,0.004
2016-06-03,46,24,0.047,0.032,0.4,0.006
2016-06-04,42,20,0.038,0.035,0.4,0.004
2016-06-05,44,23,0.06,0.027,0.5,0.004
2016-06-06,22,12,0.049,0.021,0.3,0.004
2016-06-07,44,24,0.037,0.029,0.4,0.005
2016-06-08,34,19,0.031,0.025,0.4,0.004
2016-06-09,60,30,0.034,0.031,0.4,0.004
2016-06-10,53,29,0.039,0.034,0.5,0.006
2016-06-11,45,24,0.034,0.018,0.4,0.004
2016-06-12,34,18,0.031,0.014,0.4,0.003
2016-06-13,68,32,0.037,0.028,0.6,0.003
2016-06-14,49,26,0.044,0.027,0.5,0.005
2016-06-15,39,18,0.038,0.02,0.4,0.003
2016-06-16,29,14,0.055,0.017,0.4,0.003
2016-06-17,54,30,0.068,0.02,0.5,0.004
2016-06-18,69,40,0.062,0.027,0.6,0.005
2016-06-19,42,23,0.045,0.023,0.5,0.004
2016-06-20,53,30,0.061,0.028,0.5,0.004
2016-06-21,59,33,0.05,0.048,0.6,0.004
2016-06-22,79,44,0.039,0.043,0.6,0.005
2016-06-23,51,32,0.047,0.031,0.5,0.004
2016-06-24,79,37,0.042,0.027,0.5,0.004
2016-06-25,32,14,0.048,0.019,0.4,0.004
2016-06-26,32,15,0.046,0.019,0.4,0.005
2016-06-27,35,17,0.046,0.03,0.5,0.007
2016-06-28,65,35,0.046,0.03,0.5,0.004
2016-06-29,33,19,0.053,0.021,0.4,0.005
2016-06-30,33,16,0.038,0.016,0.3,0.003
2016-07-01,22,11,0.022,0.023,0.3,0.003
2016-07-02,11,6,0.036,0.016,0.3,0.003
2016-07-03,52,30,0.058,0.017,0.5,0.004
2016-07-04,24,13,0.021,0.031,0.4,0.003
2016-07-05,15,7,0.015,0.016,0.3,0.003
2016-07-06,15,7,0.03,0.02,0.3,0.004
2016-07-07,34,19,0.03,0.035,0.5,0.006
2016-07-08,62,33,0.037,0.034,0.5,0.004
2016-07-09,41,20,0.031,0.025,0.4,0.003
2016-07-10,30,16,0.034,0.027,0.4,0.005
2016-07-11,48,28,0.043,0.038,0.6,0.007
2016-07-12,34,21,0.028,0.028,0.4,0.006
2016-07-13,26,14,0.015,0.021,0.3,0.003
2016-07-14,32,17,0.041,0.022,0.4,0.003
2016-07-15,16,8,0.028,0.026,0.4,0.003
2016-07-16,8,4,0.019,0.021,0.4,0.002
2016-07-17,12,6,0.027,0.012,0.4,0.003
2016-07-18,23,12,0.022,0.025,0.4,0.005
2016-07-19,34,18,0.048,0.032,0.5,0.003
2016-07-20,36,20,0.043,0.04,0.5,0.003
2016-07-21,26,16,0.046,0.028,0.4,0.003
2016-07-22,31,18,0.047,0.025,0.4,0.003
2016-07-23,37,22,0.039,0.017,0.4,0.005
2016-07-24,39,22,0.026,0.014,0.3,0.004
2016-07-25,47,28,0.027,0.019,0.3,0.005
2016-07-26,37,23,0.019,0.016,0.2,0.004
2016-07-27,37,22,0.022,0.016,0.2,0.004
2016-07-28,56,32,0.048,0.02,0.3,0.003
2016-07-29,54,29,0.025,0.034,0.4,0.003
2016-07-30,48,29,0.036,0.02,0.4,0.003
2016-07-31,44,27,0.019,0.015,0.3,0.003
2016-08-01,32,19,0.012,0.017,0.3,0.003
2016-08-02,27,16,0.013,0.027,0.4,0.003
2016-08-03,25,14,0.03,0.034,0.4,0.004
2016-08-04,35,20,0.042,0.033,0.5,0.003
2016-08-05,42,25,0.05,0.032,0.5,0.003
2016-08-06,60,37,0.056,0.031,0.5,0.004
2016-08-07,30,20,0.043,0.02,0.4,0.004
2016-08-08,38,22,0.037,0.022,0.4,0.003
2016-08-09,38,23,0.044,0.032,0.4,0.003
2016-08-10,85,52,0.046,0.026,0.5,0.005
2016-08-11,30,18,0.031,0.022,0.4,0.004
2016-08-12,42,26,0.025,0.02,0.3,0.003
2016-08-13,33,23,0.021,0.016,0.3,0.004
2016-08-14,36,26,0.025,0.012,0.3,0.004
2016-08-15,32,20,0.042,0.015,0.4,0.004
2016-08-16,40,23,0.048,0.025,0.5,0.005
2016-08-17,42,24,0.038,0.029,0.5,0.004
2016-08-18,46,28,0.05,0.031,0.5,0.006
