날짜,서대문구
2016-01,94.2
2016-02,94.3
2016-03,94.3
2016-04,94.4
2016-05,94.6
2016-06,95.0
2016-07,95.2
2016-08,95.7
2016-09,96.1
2016-10,96.5
2016-11,97.0
2016-12,97.2
2017-01,97.4
2017-02,97.5
2017-03,97.7
2017-04,98.0
2017-05,98.3
2017-06,98.8
2017-07,99.2
2017-08,99.4
2017-09,99.6
2017-10,99.8
2017-11,100.0
2017-12,100.3
