날짜,양천구
2016-01,93.0
2016-02,93.1
2016-03,93.0
2016-04,92.9
2016-05,93.0
2016-06,93.4
2016-07,93.9
2016-08,94.4
2016-09,95.0
2016-10,95.9
2016-11,96.6
2016-12,96.7
2017-01,96.8
2017-02,96.7
2017-03,96.7
2017-04,96.8
2017-05,97.1
2017-06,98.3
2017-07,98.6
2017-08,99.4
2017-09,99.2
2017-10,99.3
2017-11,100.0
2017-12,102.0
