날짜,용산구
2016-01,93.8
2016-02,93.9
2016-03,93.9
2016-04,94.0
2016-05,94.2
2016-06,94.4
2016-07,94.7
2016-08,95.0
2016-09,95.3
2016-10,95.8
2016-11,96.2
2016-12,96.4
2017-01,96.6
2017-02,96.6
2017-03,96.9
2017-04,97.2
2017-05,97.6
2017-06,98.3
2017-07,98.9
2017-08,99.6
2017-09,99.6
2017-10,99.8
2017-11,100.0
2017-12,100.2
