날짜,동대문구
2016-01,95.2
2016-02,95.3
2016-03,95.3
2016-04,95.4
2016-05,95.5
2016-06,95.6
2016-07,95.8
2016-08,96.1
2016-09,96.3
2016-10,96.9
2016-11,97.3
2016-12,97.5
2017-01,97.5
2017-02,97.5
2017-03,97.5
2017-04,97.8
2017-05,98.3
2017-06,98.9
2017-07,99.3
2017-08,99.5
2017-09,99.7
2017-10,99.8
2017-11,100.0
2017-12,100.2
