날짜,영등포구
2016-01,92.7
2016-02,92.7
2016-03,92.7
2016-04,92.8
2016-05,93.0
2016-06,93.2
2016-07,93.6
2016-08,93.8
2016-09,94.2
2016-10,94.6
2016-11,95.2
2016-12,95.5
2017-01,95.6
2017-02,95.7
2017-03,95.9
2017-04,96.4
2017-05,97.1
2017-06,98.0
2017-07,98.7
2017-08,99.2
2017-09,99.3
2017-10,99.6
2017-11,100.0
2017-12,101.0
