날짜,마포구
2016-01,93.4
2016-02,93.6
2016-03,93.6
2016-04,93.7
2016-05,93.9
2016-06,94.2
2016-07,94.6
2016-08,95.0
2016-09,95.2
2016-10,95.6
2016-11,96.0
2016-12,96.3
2017-01,96.5
2017-02,96.6
2017-03,96.8
2017-04,97.2
2017-05,97.6
2017-06,98.3
2017-07,98.9
2017-08,99.4
2017-09,99.5
2017-10,99.7
2017-11,100.0
2017-12,100.3
