날짜,종로구
2016-01,94.5
2016-02,94.5
2016-03,94.5
2016-04,94.6
2016-05,94.7
2016-06,94.9
2016-07,95.2
2016-08,95.5
2016-09,95.7
2016-10,96.0
2016-11,96.4
2016-12,96.5
2017-01,96.7
2017-02,96.8
2017-03,97.0
2017-04,97.3
2017-05,97.5
2017-06,98.0
2017-07,98.5
2017-08,99.2
2017-09,99.3
2017-10,99.6
2017-11,100.0
2017-12,100.2
