³¯Â¥,±¤Áø±¸
2016-01,94.0
2016-02,94.1
2016-03,94.1
2016-04,94.1
2016-05,94.2
2016-06,94.3
2016-07,94.4
2016-08,94.6
2016-09,94.9
2016-10,95.3
2016-11,95.8
2016-12,96.1
2017-01,96.1
2017-02,96.1
2017-03,96.1
2017-04,96.2
2017-05,96.7
2017-06,97.5
2017-07,98.2
2017-08,98.8
2017-09,98.9
2017-10,99.4
2017-11,100.0
2017-12,101.6
