날짜,은평구
2016-01,94.1
2016-02,94.2
2016-03,94.2
2016-04,94.2
2016-05,94.5
2016-06,94.7
2016-07,95.0
2016-08,95.3
2016-09,95.6
2016-10,96.0
2016-11,96.5
2016-12,96.8
2017-01,96.9
2017-02,97.2
2017-03,97.4
2017-04,97.7
2017-05,98.1
2017-06,98.7
2017-07,99.1
2017-08,99.5
2017-09,99.6
2017-10,99.8
2017-11,100.0
2017-12,100.2
